SMILES,mol_id,qed,4lde,sim
CN(CCc1ccccc1)C(=O)c1cc2c(cn1)NCC2F,0,0.9439658240000001,9.5,0.157142857
CC(NC(=O)C=Cc1ccccc1)c1cccn(C(=O)O)c1=O,0,0.847636397,9.8,0.321428571
CCOC(=O)C=CC(Cc1ccccc1)NC(C)C,0,0.605608788,8.3,0.39215686299999997
CC(NC(=O)C=Cc1ccccc1)c1ccn(COCCO)c1C,0,0.578313723,8.7,0.344262295
CCOC(=O)C=C(C=NC1CCCC1)C(C)C,0,0.41836799799999996,7.6,0.214285714
CCOC(=O)C(CCc1ccccc1)Nc1cccc(=O)[nH]1,0,0.770032595,8.9,0.321428571
CCOC(=O)C=C(Cc1ccccc1)NC,0,0.60686346,7.2,0.375
CC(=O)NC(CNc1ccccc1)c1ccn(C(C)C)n1,0,0.8581564159999999,8.3,0.233333333
CCOC(=O)NC(C=C(C)C)c1cc(C=C2C=CC=CC2)c[nH]1,0,0.77640753,10.1,0.3125
COC(N)Cc1ccccc1C=C1SC=CN1C,0,0.846573515,8.1,0.158730159
CC(=O)Nc1ccc(CCCC2CCc3ccccc32)c(O)c1,0,0.859564255,10.6,0.15942029
CCOC(=O)CN(CC=C(C)N)Cc1ccccc1,0,0.7626875009999999,7.1,0.333333333
CCOC(=O)C=CC(CCCC)NC(C)CCCC,0,0.45739933,6.6,0.264150943
COC(=O)NC(C=Cc1ccccc1)c1ccccc1C,0,0.9156813570000001,9.0,0.5
CCc1ccccc1C1C=CC(NC(=O)C=Cc2ccccc2)=C1N,0,0.8169639320000001,11.4,0.305084746
CC(=O)NC(C=Cc1ccccc1)=C1C=CN(C)C1=CCO,0,0.874881427,8.6,0.310344828
CCC(=O)C(C=Cc1ccccc1)NC(=O)Oc1ccccc1C=CC(C)=O,0,0.6905397040000001,10.4,0.428571429
CC(=O)C1CCC(C=CNc2cccc3ccccc23)=C(O)C1,0,0.838404866,11.0,0.181818182
CC1=CC2=CC=CC(NC(=O)OCc3ccccc3)C2C=N1,0,0.9287501509999999,9.4,0.25
CCOC(=O)NC(C=Cc1ccccc1)C1(C)C=CC=CC1=O,0,0.904981846,9.4,0.568627451
CCCC(C=Cc1ccccc1)NC(=O)OC(C)CCC,0,0.7473586879999999,8.7,0.5
CCOC(=O)NC(C=Cc1ccccc1)C=Cc1cccc(C)c1,0,0.826789303,10.2,0.659090909
COC(=O)C=CC(CC1CCCCC1)NC(=O)C=C,0,0.59223856,7.8,0.186440678
CCOC(=O)NC(C=Cc1ccccc1)c1ccc(C)o1,0,0.8998435840000001,8.6,0.697674419
COC(=O)NC(C=Cc1ccccc1)c1ccc2c(c1)CCCC2,0,0.887981962,10.3,0.40740740700000005
Cc1ccccc1C=CC(=O)Nc1ccc2c(c1)OCC2C,0,0.8635944090000001,10.4,0.2
CCOC(=O)NC(C=Cc1ccccc1)C1C=CC(=O)CC1C,0,0.9034350809999999,8.8,0.5471698110000001
CCOC(=O)NC(C=Cc1ccccc1)C1C=CC(=O)CC1,0,0.9068140490000001,9.2,0.557692308
CCOC(=O)C=Cc1ccccc1NC(=O)CCC,0,0.632320622,7.7,0.33962264200000003
CCOC(=O)NC(C)C=Cc1cccc2ccccc12,0,0.9110818159999999,9.8,0.489795918
CCOC(=O)NC1CC(C=Cc2ccccc2)=CC=C1F,0,0.9086941559999999,10.0,0.452830189
