SMILES,mol_id,pio,sim
O=C(NCc1ccco1)C1CC(c2ccccc2O)=NO1,0,0.278162912,0.465116279
COc1ccc(OCC(=O)NN=C2CCc3ccccc32)cc1,0,0.275154004,0.333333333
CC1CCc2sc(C(=O)NCc3ccccn3)cc2C1,0,0.282333052,0.315789474
CCOc1ccc(NC2=NCC(=O)N2CCc2ccccc2)cc1,0,0.283269962,0.31372549
COc1ccc(CCNCCCCCCNCCc2cccc([N+](=O)[O-])c2)cc1OC,0,0.276502732,0.311111111
O=C(NO)C(O)Cc1ccc(O)cc1,0,0.287616511,0.307692308
Cc1ccc(OCCCc2cc(N)cc(CCCOc3ccc(C)cc3)n2)cc1,0,0.327607362,0.301886792
Cc1ccccc1CCNn1ccc(C)c(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,0,0.278854254,0.298245614
Cc1cc(C(=O)COC(=O)c2ccc(Br)o2)c(C)n1C,0,0.271369295,0.290909091
CCOc1cc(C)c(S(=O)(=O)Nc2ccc(F)cc2)cc1C,0,0.274253731,0.290909091
O=C(NC1CCSC1=O)c1ccc(Oc2ccc(F)cc2)nc1,0,0.279783394,0.288461538
CCOC(=O)c1ccccc1NCN1C(=O)CSC1=O,0,0.275403609,0.288135593
NC(=O)CSc1nccn1Cc1ccc2c(c1)OCO2,0,0.293359762,0.285714286
O=C(O)C=Cc1ccc(OC(=O)CCc2ccccc2)c(OCc2ccc(F)cc2)c1,0,0.310932798,0.283333333
CC1(C)c2cc(O)ccc2CCC1N(CC=Cc1ccccc1)CC=Cc1ccccc1,0,0.282097649,0.283333333
CNC(=O)OC1C=CC(=O)C(C)(c2ccc(-c3ccccc3)cc2)O1,0,0.271228359,0.28
O=C(CSC(=S)NC1CCOC1=O)Nc1ccc(C(=O)C=Cc2ccc(F)cc2)cc1,0,0.277981651,0.278688525
CN(C)CC1CC1c1cncc2ccccc12,0,0.285714286,0.277777778
Nc1ccc(C2CC2C(=O)NCc2ccc(S(=O)(=O)c3ccccc3)cc2)cn1,0,0.305147059,0.274509804
O=C(CCCOc1ccc(Cl)cc1Cl)NC1(C(=O)NO)Cc2ccccc2C1,0,0.325225225,0.272727273
CCOC(=O)c1[nH]c(C(=O)O)c(CCN(CC)CC)c1C,0,0.271992819,0.272727273
C=CCc1ccc(OCC(=O)NCCCNC(=O)C2CC(C)(C)NC2(C)C)c(OC)c1,0,0.324091778,0.271186441
O=C1NOC(=O)C1c1cccnc1,0,0.277033986,0.265306122
COc1cc2c(cc1OC)C(C)N(C(C)=O)CC2,0,0.289473684,0.265306122
NC(Cc1ccc(O)cc1)C(=O)NC12CC3CC(C1)CC(C(=O)O)(C3)C2,0,0.319344933,0.264150943
COc1cc2c(cc1Cl)C(c1cccc(F)c1)=NCC2,0,0.275862069,0.264150943
C=CCOc1c(Cl)cc(CNc2ccc(C)c(Cl)c2)cc1OC,0,0.282907662,0.264150943
O=C1ON=C(c2ccccc2)C1=Cc1ccc(OS(=O)(=O)c2ccccc2)cc1,0,0.2909699,0.263157895
Cc1cc(C)[n+](CC(=O)Nc2ccc(S(N)(=O)=O)cc2Cl)c(C)c1,0,0.283771532,0.263157895
CCCCOC(=O)c1ccc(OC(=O)c2cccnc2)cc1,0,0.271834061,0.26
COc1ccc(CCNC(=O)Nc2cccc([N+](=O)[O-])c2)cc1,0,0.275027503,0.259259259
COc1cc(OC)cc(C(C#N)=Cc2cc(OC)c(OC)c(OC)c2)c1,0,0.270152505,0.25862069
COc1ccc(CC2COc3cc(OC)c(OC)c(OC)c3C2=O)cc1,0,0.308103295,0.258064516
CC=Cc1ccc(OCC(=O)NCC(C)(C)CNC(=O)C2=CC(C)(C)NC2(C)C)c(OC)c1,0,0.304577465,0.257142857
CCCN(C)c1ccc(C=C2Cc3cc(O)c(O)cc3C2=O)cc1,0,0.27700831,0.254901961
O=C(O)CC(c1ccccc1)c1ccc(OCCCC(F)(F)F)cc1,0,0.278375149,0.254545455
CCC(C)C(NC(=O)C(CS)NC(=O)C(N)Cc1ccccc1)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)O,0,0.304389313,0.254237288
CCOC(=O)Cc1csc(NC(=O)c2ccccc2OC(C)=O)n1,0,0.29134533,0.254237288
O=C(COc1ccccc1)N1CCSC1c1ccc(C2CC2)cc1,0,0.323890463,0.25
Cc1ccc(S(=O)(=O)NCCC(=O)NNC(=O)COc2ccccc2Cl)cc1C,0,0.290540541,0.25
CC(Oc1ccc(Cl)cc1F)C(=O)NCc1ccc2c(c1)OCO2,0,0.281524927,0.25
COCc1nc2ccccc2n1CCOc1ccc(C(C)(C)C)cc1,0,0.314606742,0.25
COc1ccc(CCCCN2CCN(CC(c3ccc(F)cc3)N3CCN(C)CC3)CC2)c2ccccc12,0,0.292307692,0.25
O=C(COC(=O)c1nc(Cl)ccc1Cl)NCc1ccc(Cl)cc1Cl,0,0.278276481,0.25
CCCNC(=O)C1CC(=O)c2cc(O)c(OC)cc2O1,0,0.307359307,0.25
COc1ccc(C2=NNC(c3cc(OC)c(OC)c(OC)c3)C2)cc1,0,0.299521531,0.25
CS(=O)(=O)c1ccc(C(CC2CCCC2)C(=O)Nc2ncc(C(N)=O)s2)cc1,0,0.271986971,0.25
Cc1cc(-c2nnn(C)n2)cc(C)c1OCCCc1cc(CC(C)O)no1,0,0.285841496,0.25
Cc1ccc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1,0,0.277917716,0.25
COc1cc(C=CC(=O)C=Cc2cc(OC)c(OCCN=[N+]=[N-])c(OC)c2)cc(OC)c1OC,0,0.276094276,0.25
CNCCc1c(Br)c(O)c(OC)c2c1ccc1cc(O)c(OC)cc12,0,0.29743083,0.25
N#CC(CCSC(=S)N1CCN(S(=O)(=O)c2c(Cl)cccc2Cl)CC1)(c1ccccc1)c1ccccc1,0,0.28198859,0.246153846
COc1ccc2cccc(CCNC(=O)C3CN(S(=O)(=O)c4ccc(C)cc4)C3)c2c1,0,0.293246994,0.246153846
O=C(O)CCC(NC(=O)CCc1ccc(-c2cccs2)cc1)C(=O)N1CCCC(CC(=O)O)C1,0,0.287272727,0.245901639
N#CC(c1cccnc1)N1CCN(CC(=O)NCCC(c2ccccc2)c2ccccc2)CC1,0,0.2890625,0.245901639
C=CCNc1nc(C)c(C(C)=O)cc1C#N,0,0.296296296,0.245901639
Cc1cc(O)cc(C)c1CC(N)C(=O)NCC(=O)NCC(=O)NC(Cc1c(C)cccc1C)C(=O)NC(CC(C)C)C(=O)O,0,0.320647003,0.245614035
CC1(C)C(C(=O)N=C(N)N)C1c1cc(Cl)cc(Cl)c1,0,0.271219512,0.245614035
COc1cc(C(=O)N(C)C)ccc1OCC(=CF)CN,0,0.272727273,0.245614035
CC(NC(=O)CCCOc1ccccc1Cl)c1ccncc1,0,0.284580499,0.245283019
COc1ccc(CC(C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,0,0.297642436,0.245283019
CCCC(=O)Nc1nnc(SCC(=O)NCc2ccc3c(c2)OCO3)s1,0,0.296262534,0.245283019
O=C(O)C(Cc1ccc(OCCCCC2CCNCC2)cc1)NS(=O)(=O)CCc1ccccc1,0,0.325910931,0.244897959
