SMILES,mol_id,sim
CCC[C@H](C)N1C[C@@H](C(=O)Nc2ccc3oc(COC)nc3c2)CC1=O,100,0.4222222222222222
Cc1cccc(C[NH+]2CCCC[C@@H]2c2cn[nH]c2)c1C,100,0.39215686274509803
O=C(NCC1CC1)[C@H]1CSCN1C(=O)C[C@H]1CCCc2ccccc21,100,0.38596491228070173
Cn1ccc([C@@H](O)c2cscc2Br)n1,100,0.37037037037037035
C[C@H](C(=O)N1CCO[C@H](c2ccc(F)cc2)C1)n1ccnc1,100,0.37037037037037035
Cn1cc(C[C@@H]2CCN(C(=O)C3(c4cccc(F)c4)CCC3)C2)cn1,100,0.37037037037037035
Cc1cc(C)cc(OCCC(=O)Nc2ccc(F)cc2)c1,100,0.36363636363636365
CC1=C(CN(C)C(=O)c2cnc(C)nc2C)[C@H](C)N=N1,100,0.3584905660377358
Cc1ccc(NC(=O)[C@H](C)N2CCO[C@H](c3ccccc3)C2)c(Cl)c1,100,0.34615384615384615
Cc1cc(C)n(CCN2CCN(C(=O)c3ccc(Br)cc3)CC2)n1,100,0.3333333333333333
Cc1ccc([C@@H](C)[NH2+][C@H]2CCO[C@]3(CCOC3)C2)s1,100,0.32786885245901637
Cc1ccc([C@@H](CNC(=O)Nc2cccc(C#N)c2)N2CCOCC2)cc1,100,0.32653061224489793
CC(C)(C)S(=O)(=O)CCNC(=O)N[C@@H]1C[C@@H]1c1cccc(Cl)c1,100,0.32142857142857145
Cc1csc([C@@H](C)NC(=O)Nc2c(C)cc(C)nc2Cl)n1,100,0.3157894736842105
Cc1ccc(-c2nc(CCNC(=O)N3CCC[C@@H]4CCC[C@@H]43)co2)cc1,100,0.3157894736842105
Cc1ccc(-c2nnc(S[C@@H](C)C(=O)NCC(F)(F)F)o2)cc1,100,0.3157894736842105
CCCCn1nc(C)c(CN2CCNC(=O)[C@@H]2CC)c1Cl,100,0.3157894736842105
C[C@H](c1ccc(Cl)cc1)N(C)C(=O)N[C@@H]1CCS(=O)(=O)C1,100,0.3157894736842105
O=C(NCCC1CCN(c2cc[nH+]cc2)CC1)N1CCC[C@H]1c1ccc[nH]1,100,0.3157894736842105
Cc1cc(Br)c(O)c(C(=O)Nc2cnn(C(C)C)c2)c1,100,0.3103448275862069
Cc1noc(C)c1[C@H](C)NC(=O)c1cc(N)c(F)cc1F,100,0.3103448275862069
CC(C)NC(=O)C[C@H](C)NC(=O)N1CCCCC[C@H]1c1ccncc1,100,0.3090909090909091
