SMILES,mol_id,qed,gsk3b,sa,sim
NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)[nH]nc3c2)c1,600,0.6640232931856116,1,0.8420446367618138,0.19298245614035087
Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,600,0.6912947858704493,1,0.8526573840145609,0.17582417582417584
COc1cccc(-c2n[nH]c(O)c2N=Nc2cccnc2)c1,600,0.7186130506845768,1,0.7996360799707022,0.16666666666666666
CC(C)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,600,0.7839621754960868,1,0.8306072900374514,0.1643835616438356
COc1cc2c(cc1Cl)C(c1ccc(Cl)c(Cl)c1)=NCC2,600,0.7494747608748556,1,0.8520148258914279,0.1625
Oc1n[nH]cc1N=Nc1ccccc1Cl,600,0.7661496774664122,1,0.7654346624107754,0.16
COc1cc2ncc(-c3ccccc3)nc2cc1OC,600,0.7291625080611583,1,0.9132930578064924,0.16
O=C(O)c1ccc2nc(NC3CCC(O)CC3)c3nccn3c2c1,600,0.6827473389504856,1,0.8293649913069433,0.15853658536585366
CSc1ccc(NC2=C(c3cccc(Cl)c3)C(=O)NC2=O)cc1,600,0.6576257847674362,1,0.85325479182605,0.15853658536585366
COc1ccc(-c2[nH]nc(O)c2N=Nc2ccncc2)cc1OC,600,0.6971290044736761,1,0.8000046791553268,0.15853658536585366
Cc1ccc(F)c(-c2ccc3nnc(N)n3c2)c1,600,0.7125968178694001,1,0.8457249828334774,0.15714285714285714
Nc1nonc1-c1nc2ccccc2n1C1CCCC1,600,0.7730324919006123,1,0.846618598426013,0.15492957746478872
Cc1cc2c(NC(=O)C3CC3)nnc-2[nH]c1-c1ccc(O)cc1,600,0.6935293433453414,1,0.8116841409384761,0.15492957746478872
C#Cc1cn(C2CCCC2)c2ncnc(N)c12,600,0.7575490978636867,1,0.8104320229142797,0.15384615384615385
N#Cc1cnc(NC(=O)Nc2ccc3cc(C(=O)O)ccc3c2)cn1,600,0.675855970328892,1,0.8568957155421882,0.15294117647058825
Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,600,0.6258446787041011,1,0.8273410193368844,0.1527777777777778
OC1CCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)CC1,600,0.6344614746232909,1,0.8151251951610602,0.15254237288135594
COc1ccc(C=C(C#N)C#N)cc1,600,0.661288208095946,1,0.8683249053372969,0.15151515151515152
CCOc1cc(C2C3=C(CC(C)(C)CC3=O)N=C3NNC(C)=C32)ccc1O,600,0.7634058516057504,1,0.7370682271295218,0.1506849315068493
COc1ccc(C2CN(c3nc(-c4ccncn4)cc(=O)n3C)CCO2)cc1,600,0.6837863390393789,1,0.7786302544889873,0.15
COc1cc2c(cc1OC)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,600,0.6983599990883924,1,0.829125149539365,0.15
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)s2)c1,600,0.7540300015327338,1,0.8359913687856173,0.14814814814814814
CC1CCCCN1c1ncnc(N)c1[N+](=O)[O-],600,0.6153368850135186,1,0.7864461796987984,0.14705882352941177
O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,600,0.6587163937611535,1,0.7993159712561744,0.14705882352941177
Fc1cccc(CSc2nnc(-c3ccncc3)o2)c1,600,0.6866302065452723,1,0.8783288982956348,0.14705882352941177
COc1ccc(S(=O)(=O)Nc2c(C(=O)O)[nH]c3ccc(OC)cc23)cc1,600,0.6087374025382779,1,0.8741469370681403,0.14606741573033707
O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,600,0.6874186817919911,1,0.8405328983349258,0.14492753623188406
CCc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,600,0.6954983861931998,1,0.8488020189151307,0.14492753623188406
COc1ccc(C(=O)N2c3ccccc3Sc3c(Cl)cncc32)cc1,600,0.6241306909154045,1,0.839004990852168,0.14457831325301204
Nc1ncnc2c1c(I)nn2C1CCC(O)CC1,600,0.7534017327276684,1,0.7977506238591187,0.14285714285714285
COC(=O)c1ccccc1-c1ccc2c(c1)Nc1ccccc1NC2=O,600,0.6741306489821778,1,0.8727465353587386,0.14285714285714285
CN(C)c1ccc2[nH]c(O)c(C=Nc3ccc(S(N)(=O)=O)cc3)c2c1,600,0.6214322390150052,1,0.8082984319521308,0.14285714285714285
Oc1ncc(I)c2nc(-c3ccccc3)cn12,600,0.6949419646925866,1,0.8184941893193033,0.14084507042253522
CCCCC(=O)Nc1ncnc2[nH]c(-c3cccc(C#N)c3)nc12,600,0.7510222014958464,1,0.8330363402478574,0.14084507042253522
CCn1c(=O)sn(C2CCCCC2)c1=O,600,0.7713459177388524,1,0.7830325838691619,0.1388888888888889
O=C1Nc2ccccc2Nc2nnc(Cl)cc21,600,0.7492839235898866,1,0.8160332788012499,0.1388888888888889
c1ccc(CNc2cc(-c3c[nH]c4ncccc34)ncn2)cc1,600,0.6038017772069565,1,0.8633004860203728,0.13829787234042554
O=C1NC(=O)C(=Cc2ccc3c(c2)OC(F)(F)O3)S1,600,0.8022175642079523,1,0.8045985611855521,0.13793103448275862
CCN1CCN(CCCC(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1,600,0.6405531225139477,1,0.8366379147027698,0.1375
O=C1NCCc2[nH]c(-c3ccnc(Cl)c3)cc21,600,0.757765169347065,1,0.8093007827258967,0.136986301369863
Cc1sc(C(=O)CCl)cc1C(=O)CCl,600,0.6086547902030942,1,0.8000030118461727,0.13636363636363635
NC(=O)c1ccc(-c2ccncc2)cc1NCc1cccc(F)c1,600,0.7542660471808904,1,0.8907861730237769,0.13636363636363635
CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,600,0.6293082808757999,1,0.8113824673975609,0.13580246913580246
O=Cc1c(C2C(=O)Nc3cc(Br)ccc32)[nH]c2ccccc12,600,0.6866863809750685,1,0.7704979182446196,0.13580246913580246
COc1ccc2c(-c3ccnc(Nc4ccc(C#N)cc4)n3)cnn2n1,600,0.6077312036241518,1,0.8181356122818156,0.13513513513513514
CSc1ccc(N=C2C(=O)NC(=O)C2c2ccccc2Cl)cc1,600,0.6836324158553212,1,0.7653900587653193,0.1348314606741573
OC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,600,0.6344614746232909,1,0.8167865138423789,0.13432835820895522
CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)cc12,600,0.7694180437399997,1,0.8668925611597716,0.13414634146341464
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)c(C)c2)c1,600,0.7368473550026519,1,0.8521995006827832,0.13414634146341464
Cc1n[nH]c2c1C(c1ccccc1Cl)C1C(=O)CC(C)(C)CC1=N2,600,0.8239290303342657,1,0.6842848315515729,0.13333333333333333
COc1cc2c(cc1OC)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,600,0.6958616869665644,1,0.8377697588326828,0.13333333333333333
Nc1nccc(-c2c[nH]c3cc(Br)ccc23)n1,600,0.7233493101459181,1,0.8520653039189894,0.13333333333333333
Cc1n[nH]c2c1C(c1ccsc1)C1C(=O)CC(C)(C)CC1=N2,600,0.8646941958950263,1,0.6478395718004316,0.13253012048192772
O=C1CCCN1Cc1ccc2c(c1)nc(O)c1cccn12,600,0.7839224836360913,1,0.8287528385872621,0.13043478260869565
Cc1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)c(C)c1,600,0.6300403795072678,1,0.8485585735093496,0.13043478260869565
CS(=O)(=O)c1cccc(C(=O)Nc2nc3ccccc3n2CCCO)c1,600,0.6887780515478381,1,0.8773952013229115,0.12987012987012986
CN(C)c1ncnc2[nH]c(-c3ccccc3)nc12,600,0.7435451213059835,1,0.8482659388608589,0.12987012987012986
CC(=O)N(c1ccncc1)C1C(=O)C(=O)C1=NC(C)C(C)(C)C,600,0.7970827484620796,1,0.6661418274274289,0.12857142857142856
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,600,0.6095989367593201,1,0.7319069371121691,0.1282051282051282
COc1cccc(C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O)c1,600,0.846909253713458,1,0.8684536083940974,0.12790697674418605
CN1C(=O)C(=C2C(=O)N(C)c3ncccc32)c2cccnc21,600,0.6872656929687787,1,0.8041279534198339,0.1267605633802817
CNCCOc1cncc(-c2ccc3[nH]nc(C)c3c2)c1,600,0.7058895206966931,1,0.8394252219416128,0.1267605633802817
