SMILES,mol_id,pio,sim
CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1,400,0.281310212,0.357142857
Cc1ccc(C(=O)O)cc1S(=O)(=O)NN=Cc1cccc[n+]1[O-],400,0.282628263,0.355932203
N=C(N)c1ccc(COc2ccc3cc(CC(NS(=O)(=O)c4ccc(Br)cc4)C(=O)O)ccc3c2)cc1,400,0.296819788,0.333333333
CC1CCN(C(=O)COC(=O)c2c[nH]c3ccccc23)CC1,400,0.270794824,0.328358209
CCCOc1cc(C)c2c(c1C)CC(C(C)C(=O)O)CC2,400,0.283479961,0.327868852
O=C(CC1C(=O)NCCN1Cc1ccc(-c2ccccc2)cc1)NCCOc1cccnc1,400,0.285451197,0.322033898
O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCCC2)cc1,400,0.272816487,0.31884058
O=C(NO)C1(COc2ccc(C#Cc3ccc(CN4CCN(CCn5ccnc5)CC4)cc3)cc2)CCOCC1,400,0.274208145,0.308823529
CC12CCC(C(=O)NCc3ccc4c(c3)OCO4)(CC1=O)C2(C)C,400,0.27939793,0.308823529
COc1ccc(CCNCC(O)COC(=O)c2cccc(Cl)c2)cc1OC,400,0.300736067,0.306451613
CNCCc1c(Br)c(O)c(OC)c2c1ccc1cc(O)c(OC)cc12,400,0.29743083,0.306451613
COCC(=O)N1CCC(Oc2ccc(C(=O)NCc3cc(C)n(C)n3)cc2)CC1,400,0.276084949,0.305555556
CCOc1cc(CCN)cc(OCC)c1OC,400,0.289081886,0.304347826
COc1ccc(C=NNS(=O)(=O)c2ccc(C)cc2)cc1OC(=O)c1ccccc1,400,0.270544783,0.301587302
COc1ccc(C(C#N)=Cc2ccc3c(c2)OCCO3)cc1OC,400,0.29049676,0.298507463
Cc1ccc(C(C)C)c(OCC(=O)NN=Cc2cccnc2)c1,400,0.302547771,0.295081967
Cc1ccc(Cn2cc(-c3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)nn2)cc1,400,0.277227723,0.294117647
CC(Nc1cc(NCc2ccccn2)ncn1)C(Cc1ccc(Cl)cc1)c1cccc(Br)c1,400,0.308354866,0.294117647
CCN(CC)C(=O)C=C(C)c1ccc(OCc2ccccc2F)c(OCC(=O)O)c1,400,0.304832714,0.293103448
COc1ccc(CC(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,400,0.293122886,0.289855072
COc1cc(CC2COC(=O)C2Cc2ccc(O)c(OC)c2)ccc1O,400,0.289699571,0.289855072
OC(Cc1ccc(F)cc1)(c1nc2cc(Cl)c(Cl)cc2[nH]1)C(F)(F)F,400,0.280138768,0.285714286
COc1ccc2c(c1)CC(NCCCn1cc(C)cn1)CC2,400,0.308075773,0.28358209
Cc1[nH]c(=O)[nH]c(=O)c1C=CC(=O)NC(CO)C[S+]([O-])Cc1ccccc1,400,0.276595745,0.28358209
COc1ccc(C(C(=O)O)N(C)CCN2CCCC2)cc1F,400,0.273255814,0.28358209
CC1CCN(C(=O)COC(=O)c2cc(Cl)c3c(c2)OCO3)CC1,400,0.28700361,0.283333333
CCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCC)C(=O)NC(CC1CCCCC1)C(N)=O,400,0.276315789,0.281690141
O=C(CSc1ccc(Br)cc1)c1c[nH]c2cc(Br)c(F)cc12,400,0.281358885,0.281690141
